"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6798","Login fails with invalid email","chromium","2025-09-05","passed","2025-09-05","","EndtoEnd.spec.js","",""
"","21566","App Users: filter by status Active","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","15521","Intentional Other Defect","chromium","2025-09-05","failed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","27833","Create Activity (full flow)","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","26676","App Users: search by keyword","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","22359","App Users: verify Total App Users count matches rows after Banned filter","chromium","2025-09-05","failed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","7307","Login fails with wrong OTP","chromium","2025-09-05","passed","2025-09-05","","EndtoEnd.spec.js","",""
"","15570","Login succeeds with correct OTP","chromium","2025-09-05","passed","2025-09-05","","EndtoEnd.spec.js","",""
"","21796","App Users: filter by status Suspended","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","21591","App Users: filter by Joined Date range","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","22653","App Users: verify Total App Users count matches rows after Suspended filter","chromium","2025-09-05","failed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","20750","Intentional Test Defect","chromium","2025-09-05","failed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","32995","Create Activity Negative: start and end date same and end time before start time","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","16257","Logout","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","26727","App Users: search then Clear Filters","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","21533","App Users: verify Total App Users count matches rows after search","chromium","2025-09-05","failed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
"","21827","App Users: filter by status Banned","chromium","2025-09-05","passed","2025-09-05","Post-login flows (split tests with shared login)","EndtoEnd.spec.js","",""
